"streetAddress","zipcode","description","latitude","longitude","propertyTaxRate","garageSpaces","hasAssociation","hasGarage","hasSpa","hasView","homeType","yearBuilt","latestPrice","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
"11928 Aitne Ln","78725","A well kept 3 bed 2 bath corner lot home at a great price. Durable vinyl plank flooring throughout the home with an open floorplan. Vaulted ceilings help create an open feeling throughout the living area and into the Master. Kitchen opens onto dining room with windows looking out from the sink. A double vanity, a separate shower and garden cap off a surprisingly spacious master. Back yard is fenced in with plenty of space for children or the family pet to play in. All bedrooms positioned towards the interior of the lot and away from the street.",30.2150993347168,-97.6364364624023,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2009,195,2019-03-28,"3",2019,26,"0",4,1,0,0,0,0,0,6751,1304,3.26666666666667,3,1457,13,2,3,1
"5524 Loma Alta Dr","78744","This stunning home shows like a model! Features include ceramic (wood look) tile flooring and cathedral ceilings. Gourmet kitchen with Silestone counters, upgraded cityscape cabinets w/crown molding, SS appliances, reverse osmosis system, convection oven and glass tile backsplash. All bedrooms have walk in closets. Master en-suite w/private sitting area, large walk-in shower and double vanity. Corner lot w/covered back patio overlooking the large back yard. Solar panels on the home keep electricity low!",30.1754455566406,-97.6981582641602,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2016,309.999,2018-03-26,"3",2018,31,"0",7,2,0,0,0,0,0,7100,1907,2.9,3.66666666666667,1532,12,3,3,2
"10707 Beckwood Dr","78726","Appealing 2 story home sitting on a quiet interior tree-lined street. This is a 4 bedroom 2.5 bath with large upstairs loft. There is a 2 car detached garage with attic and covered walkway to garage entry. There is also a walk-in attic in the house. Master on 1st floor. Great mature trees & big yard for kids to play. RISD Schools with top rated Westwood High. Walking distance to Canyon Creek pool & Amenity Center. Quiet neighborhood with quick access to Hwy 620, 45 Toll, & Hwy 130.",30.4428997039795,-97.8246459960938,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1988,427,2020-03-04,"3",2020,8,"0",2,2,2,2,0,1,0,10890,2484,1.23333333333333,8,1275,15,3,4,2
"10700 Mcfarlie Cv","78750","Spacious home on oversized cul-de-sac street.  Xeriscape terraced back yard w/multi-level decks.  Large kitchen with stainless steel appliances, granite and white cabinets.    New -laminate wood floors, carpet and fresh paint.   Sit outside on the upper balcony from the master bedroom and enjoy reading a book.  All bedrooms are up which make it nice for family.  Large living room and dining room with lots of light.  Desirable neighborhood and wonderful schools.  A MUST SEE!",30.4263935089111,-97.7927322387695,1.98,2,"FALSE","TRUE","TRUE","FALSE","Single Family",1991,648,2020-11-30,"11",2020,50,"0",6,2,2,2,0,0,0,11325.6,2567,1.16666666666667,9,1616,16,3,4,2
"804 Hatton Hill Ct","78725","Check out this recently remodeled home in east Austin. Fresh paint in January 2020, and updated flooring in February 2020. This is a lovely 3 bed, 2 bath home that has easy access to Toll 130, Toll 290, Hwy 71, and the airport. Large partially covered concrete patio in the backyard. Water Softener, added concrete sidewalk to rear of house and extended back patio, epoxy floor in garage. Xeriscaping in the front yard. Minimal yard upkeep. Check it out, this house won't last!",30.2382354736328,-97.580436706543,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2015,219,2020-04-03,"4",2020,28,"0",5,2,1,1,0,0,0,4617,1267,1.9,3,1457,13,2,3,1
"3100 Caleb Dr","78725","Great starter home on a corner lot. This home has 3 beds, 2 baths and a spacious storage shed in the back.  Great location, about 12 miles to downtown Austin.",30.2292938232422,-97.5900726318359,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2004,179.9,2018-03-22,"3",2018,25,"0",0,1,0,0,0,0,0,5924,1194,1.83333333333333,3,1457,13,2,3,1
"2312 Elara Dr","78725","Adorable single story home in Hornsby Glen.  Charming 2014 built home with 3 bedrooms and 2 bathroom home. It's a PERFECT PLACE to call home.",30.2150192260742,-97.6380462646484,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2014,194.098,2019-03-06,"3",2019,9,"0",5,1,0,0,0,0,0,5445,1296,3.33333333333333,3,1457,13,2,3,1
"5708 Roderick Dr","78724","Highly upgraded ""Move in Ready"" DR Horton home completed in 2018 on quite street in highly desirable East Austin neighborhood. Featuring high ceilings, luxurious main level master, game room, cookâs delight gourmet island kitchen. Better than new w/full sod, upgraded fixtures, sprinkler system. Amazing location. Walk to outstanding elementary.12 miles to UT/Downtown.USDA financing available. Easy access to Toll 130, HWY 290. 8 miles to airport. All that plus nearby park, lake, fishing & trails. Low Taxes!",30.2593727111816,-97.5867462158203,1.98,1,"TRUE","TRUE","FALSE","FALSE","Single Family",2018,255.7,2019-04-05,"4",2019,22,"0",3,2,0,0,0,0,0,6098,2570,2.2,2.66666666666667,1478,13,3,4,2
"5504 Loma Alta Dr","78744","Trendy newer built home in a great community neigborhood.  Popular 2-story floorplan with master down featuring HUGE walk-in closet.  Open gourmet kitchen for the family chef.  3 bedrooms up with bonus area ideal for game room, 2nd living area, or exercise space.  No carpet on main level!  Imagine sipping your favorite beverage while grilling up delicious food, soaking in private garden view on covered back patio.  Close proximity to the airport, downtown, McKinney Falls & more.  Hurry, priced to sell!",30.1761322021484,-97.6977310180664,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2016,325,2020-08-18,"8",2020,67,"0",4,2,1,1,0,1,0,6141,2068,2.9,3.66666666666667,1532,12,3,4,2
"2525 Elara Dr","78725","Model-Sharp Single Level 3br 2ba CDS Lot backs to Woods & Fields ::: Bright & Open Split-Plan w/ Ceiling Fans, Art Niche & Recessed Lights * Wood Blinds * Gas Fireplace * Breakfast Bar & Nook * Tile Backsplash * Black Whirlpool Appliances w/ Gas Range & Incl Fridge * Large Utility Room w/ Window :) Big Private Backyard w/ Covered Patio & Oak Trees, walking distance to River * Epoxy Sealed Garage Floor * Super Clean & Move-In Ready",30.2129650115967,-97.6372680664062,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2010,225,2019-02-01,"2",2019,19,"0",5,1,0,0,0,0,0,9626,1420,3.3,3,1457,13,2,3,1
"7912 Annalise Dr","78744","Absolutely stunning w amazing upgrades from West Elm & Z Gallery through out! Handscraped laminate floors (no carpet!), stunning Quartz Counters, upgraded white shaker cabinets w soft close & farmhouse apron sink, subway backsplash, brushed nickel hardware & SS appliances! Walk in pantry, coffered ceilings, modern 6 panel doors, custom lighting through out, sprinkler & keyless locks! Oversized master w slate walk in shower, double vanities & Walk in closet! Walking dist to Addisons 2 pools, gym & park!",30.1765880584717,-97.697380065918,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2016,275,2020-02-10,"2",2020,40,"0",4,1,0,0,0,1,0,5488,1449,2.9,3.66666666666667,1532,12,2,3,1
"14611 Highsmith St","78725","Recent interior and exterior paint, recent carpet, tile surround in master bathroom, recent range, Heating and A/C unit replaced 2018.",30.2369918823242,-97.585334777832,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1997,199.999,2019-08-23,"8",2019,18,"0",3,1,1,0,0,0,0,5227,1335,1.73333333333333,3,1457,13,2,3,1
"11204 Tanya Trl","78726","Front porch elevation w/stately pillars & brick flooring to showcase your favorite plants-The quiet elegance of the two story entry invites you to make your way past the formal living, dining & stunning central staircase recently refinished, set at an angle with a mid level landing. A completely renovated kitchen with high end appliances overlooks the inviting pool, waterfall, expanded deck & lounge areas perfect for entertaining family & friends. The upstairs lavish owner's retreat will not disappoint! RRISD",30.4431171417236,-97.8240737915039,1.98,4,"TRUE","TRUE","FALSE","FALSE","Single Family",1989,435,2020-07-24,"7",2020,65,"0",2,2,2,0,0,2,0,8973,3113,1.2,8,1275,15,3,4,2
"8016 Annalise Dr","78744","8016 Annalise Drive, Austin, TX 78744",30.1762065887451,-97.696533203125,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2016,285,2018-12-21,"12",2018,1,"0",4,1,0,0,0,0,0,5662,1973,2.9,3.66666666666667,1532,12,3,3,2
"14304 Rosseau St","78725","Brick 2/2.5/2 home with easy access to toll 130, Tree shaded lot, fenced back yard",30.2431354522705,-97.5855255126953,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1987,209.9,2020-03-03,"3",2020,23,"0",7,2,0,0,0,1,0,5558,1419,1.66666666666667,3,1457,13,2,3,1
"5217 Bonneville Bnd","78744","This home is ready for you - Updated with hardwired internet in every room - New Tesla Gigafactory approx. 7 miles away. This immaculately kept 6 bedroom (2 suites) provides space for everyone to live & work from home.  Open floorplan, Tons of natural light.  Granite countertops, large island & tons of cabinet space. Large suite down Suite & 4 Bed + Flex up!  Conveniently located to Downtown, Airport, McKinney Falls State Park, and access right across the street to the Onion Creek Greenbelt.",30.1784954071045,-97.696662902832,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2016,375,2020-08-31,"8",2020,78,"0",2,2,1,0,0,0,0,6969,2682,2.9,3.66666666666667,1532,12,5,7,2
"12008 Thyone Dr","78725","Come see this 2 story in 78725! WOW - All of this square footage AND 4 bedrooms at this low price. Less than a mile to Colorado River access, across from the Hornsby Bend Bird Observatory, and walking distance to the greenbelt! Located at the end of the street with no neighbors on 2 sides, this private backyard features Mexican plum, fig, and oak trees and makes for great for entertainment.",30.2156448364258,-97.6355514526367,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2014,229.9,2020-06-29,"6",2020,32,"0",2,2,1,1,0,0,0,4573,1936,3.2,3,1457,13,3,4,2
"12726 Cloud Mountain Xing","78726","VIEWS for miles in this Grandview Hills home. Very private backyard, master suite, office/study, formal dining and family room down. Three beds/two baths and great room up with views of the hill country.  All rooms very spacious including kitchen breakfast area and utility room.  Check out the extra storage space inside the garage and large storage below the home, MANY UPGRADES including windows, HVAC and roof.",30.42333984375,-97.8644104003906,1.98,2,"TRUE","TRUE","FALSE","TRUE","Single Family",2001,549.9,2018-08-24,"8",2018,38,"0",3,2,0,0,0,0,0,10105,3794,2.13333333333333,7,1277,16,4,4,2
"7003 Jester Blvd","78750","Come see this beautiful remodel. High-end finishes throughout, kitchen has granite counter tops, new custom cabinets and high-end appliances. Recessed lighting, high ceilings. On level master suite with fireplace, his & hers walk-in closets, travertine tile in bathroom. Newer acacia hardwood floors in the living areas, tile and new carpeting. Very large flex room upstairs can be a media/game room or extra guest room. Fresh paint inside & out. Low maintenance yard. Deck perfect for entertaining.",30.3759994506836,-97.7984848022461,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1983,690,2019-01-19,"1",2019,36,"0",5,1,0,0,0,0,0,10367,2967,2.93333333333333,7,1523,17,3,4,2
"5229 Bonneville Bnd","78744","This is a striking and elegant home that has been upgraded to the tune of $60K+. The owner bought the home new but has had all the flooring pulled up and replaced with wood plank flooring except for the bedrooms. All lighting fixtures and ceiling fans have been upgraded. Custom blinds, hardware on cabinets, thermostats, front door, and paint have been upgraded. A pergola & outdoor concrete steps w/lights have been added outdoors. A real opportunity for a buyer wanting a move-in ready impeccable home.",30.1782112121582,-97.6968231201172,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2016,325,2018-09-12,"9",2018,22,"0",4,1,0,0,0,0,0,6185,2068,2.9,3.66666666666667,1532,12,3,4,2
"12704 Cloud Mountain Xing","78726","12704 Cloud Mountain Xing, Austin, TX 78726 is a single family home that contains 3,338 sq ft and was built in 2001. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $649,870. The Rent Zestimate for this home is $3,100/mo.",30.4236278533936,-97.8633499145508,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2001,574.9,2018-03-01,"3",2018,1,"0",3,1,0,0,0,0,0,11325.6,3338,2.13333333333333,7,1277,16,4,4,2
"8225 Phantom Canyon Dr","78726","Rarely are there homes w/ that ""WOW"" factor. Well, this is one of those unbelieveable homes! Gorgeous one story! Open floor plan & high ceilings. Four bedrooms, plus an office/study. Natural light! Center island, 42"" upper cabinets & gas cooktop in kitchen. Gas log fireplace in family room. Hard tile & wooden floors. Private backyard w/ covered patio, & beautiful arbor. New shingles 2009, water heater in 2012. Furnace, evaporator coil & condenser 2012/2013 (10 yr warranty). Must see to believe!",30.4257164001465,-97.8606414794922,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2002,425,2020-09-01,"9",2020,120,"0",3,2,1,2,0,1,0,9670,2864,2.06666666666667,7,1277,16,3,5,1
"9008 Scotsman Dr","78750","Stunning complete renovation situated perfectly on a quiet tree covered private oasis. Highly desirable ""Park at Spicewood"" pocket neighborhood is surrounded by greenbelts, playgrounds, parks, tennis and hike/bike trails. Meticulous craftsman remodel with an eye for detail. Featuring a bright open floorplan cascaded by abundance of natural light showcasing an office/study, multiple living areas and high ceilings. All this plus outstanding schools and great nearby shopping/dining. Truly a rare gemRestrictions: Yes",30.4285068511963,-97.7942504882812,1.98,2,"TRUE","TRUE","FALSE","TRUE","Single Family",1988,684,2020-10-05,"10",2020,55,"0",3,2,1,1,0,0,0,10454,2656,1.2,9,1616,16,3,4,2
"10512 Dunham Forest Rd","78717","Easy Show w/One Hour Notice Please. Beautiful 4BD/2.5 BA, Family Rm, Frml Dining, All Beds Up, Cute & Spacious Kitchen w/Hard Tile Down, Fresh Paint throughout, Recently installed New Carpet & Laminate flooring, Ceiling fans, W/Nobody Behind you located in gorgeous & prestigious Avery Ranch Subdivision with 4 Community Pools, Massive Amenity Center, Tennis & Volleyball Courts, Renowned Brushy Creek Hike & Bike Trail, Top Rated Schools in Leander ISD, and close to all Roads Tolls and Shopping.",30.4936752319336,-97.7860107421875,2.21,2,"TRUE","TRUE","FALSE","TRUE","Single Family",2002,359.965,2020-07-15,"7",2020,40,"0",4,3,2,1,0,1,0,5140,1975,2,8.33333333333333,1481,16,3,4,2
"4602 Sherwyn Dr","78725","4602 Sherwyn Dr, Austin, TX 78725 is a single family home that contains 1,745 sq ft and was built in 1971. It contains 4 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $358,912. The Rent Zestimate for this home is $1,875/mo.",30.281660079956,-97.661735534668,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1971,120,2018-06-25,"6",2018,23,"0",1,1,0,0,0,0,0,9452,1745,2.46666666666667,3.66666666666667,480,14,2,4,1
"7716 Barbary Ct","78744","MLS# 5657804 - Built by Dream Finders Homes - October completion! ~ Our most popular plan, the Avalon, is brilliantly designed featuring a wide-open living and kitchen area, huge center island, bay windows in the Master bedroom, gas fireplace, tray ceiling in the living area and so much more.  Two closets for your Master bedroom, walk-in pantry, separate room for laundry, and a 3-car garage accommodate the space you need!  This home will not last long!!",30.161039352417,-97.715950012207,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2017,388.99,2018-10-31,"10",2018,5,"0",4,1,0,0,0,0,0,6969,2502,3.1,3.66666666666667,1532,12,3,4,1
"15013 Roody Ln","78725","15013 Roody Ln, Austin, TX 78725 is a single family home that contains 1,480 sq ft and was built in 2016. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $259,477. The Rent Zestimate for this home is $1,650/mo.",30.2364826202392,-97.5824127197266,1.98,4,"TRUE","TRUE","FALSE","FALSE","Single Family",2016,218.8,2019-05-10,"5",2019,44,"0",3,2,0,0,0,0,0,5706,1480,1.83333333333333,3,1457,13,2,3,1
"9016 Elfen Cv","78724","9016 Elfen Cv, Austin, TX 78724 is a single family home that contains 2,573 sq ft and was built in 2009. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $305,303. The Rent Zestimate for this home is $1,900/mo.",30.2835445404053,-97.6262130737305,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2009,259.9,2019-03-13,"3",2019,33,"0",3,1,0,0,0,0,0,12196.8,2573,2.73333333333333,3.66666666666667,1085,11,3,3,2
"9010 Spring Lake Dr","78750","9010 Spring Lake Dr, Austin, TX 78750 is a single family home that contains 2,340 sq ft and was built in 1977. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $638,640. The Rent Zestimate for this home is $2,700/mo.",30.4385547637939,-97.7947235107422,1.98,5,"TRUE","TRUE","FALSE","TRUE","Single Family",1977,629,2020-10-22,"10",2020,77,"0",7,2,3,1,0,0,0,13503.6,2340,0.9,8.66666666666667,1632,16,3,4,2
"8108 Red Bird Ct","78726","Gorgeous home in Grandview Hills. Private neighborhood situated on quiet cul-de-sac street. Open and spacious, flexible floor plan. Tile and hardwoods on main level. Oversized kitchen with corian countertops, tiled backsplash open to family room. Guest room with private bath on main level. Master suite upstairs with jetted soaking tub and large walk-in closet. Private, fenced back yard with cozy outdoor deck, an ideal area for entertaining.",30.4244270324707,-97.862419128418,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2002,345,2020-11-17,"11",2020,55,"0",1,3,4,2,0,0,0,7492,3675,2.13333333333333,7,1277,16,4,5,2
"2907 Crownover St","78725","Lovely 3 bedroom, 2 bath home that has new paint inside and out. Designer lighting fixtures and plumbing fixtures. New carpet in 2 bedrooms and the rest of the rooms have wood and hard tile. This home is move in ready with new range, dishwasher, microwave, and recent refrigerator. House may be in 500 year floodplain. Seller to convey with special warranty deed.",30.2275581359863,-97.5895919799805,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2005,184.9,2019-08-13,"8",2019,24,"0",5,1,0,0,0,1,0,4312,1203,1.86666666666667,3,1457,13,2,3,1
"7004 Juneberry Cv","78750","Beautiful plantation-style cul-de-sac home with gorgeous curb appeal! Full length front porch & upstairs balcony provide the perfect spots to beat the heat. Natural light floods the interior featuring tons of upgrades - true hardwood floors, Saltillo brick in kitchen/sun room/foyer, solid pine doors, frames, cabinets & windows! Kitchen & bathrooms have been fully remodeled - includes extra-large garage w/ built-in shelving. A true must see!",30.3754653930664,-97.7973251342773,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1982,750,2020-09-11,"9",2020,110,"0",4,2,1,0,0,1,0,8319,2922,2.83333333333333,7,1523,17,4,3,2
"11129 Rio Vista Dr","78726","11129 Rio Vista Dr, Austin, TX 78726 is a single family home that contains 2,428 sq ft and was built in 1996. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $487,505. The Rent Zestimate for this home is $2,400/mo.",30.4350852966309,-97.8276443481445,1.98,4,"TRUE","TRUE","FALSE","FALSE","Single Family",1996,475,2020-11-30,"11",2020,38,"1",3,2,5,3,0,0,0,7405,2428,1.46666666666667,8,1275,15,3,3,2
"2420 Kale Dr","78725","This charming limestone faced home in Hornsby Glen has 3 bedrooms, 2 bathrooms and sits on a premium size cul-de-sac lot. Landscaped paradise with great attention to detail. Freshly mulched and new gravel. 2 raised garden beds in back yard. Updated floors and various fixtures. Painted in July 2019. Security system that includes cameras convey. One owner and well maintained. Close proximity to all major freeways, toll road, Austin airport and Circuit of the Americas.",30.213565826416,-97.6374130249023,1.98,4,"TRUE","TRUE","FALSE","TRUE","Single Family",2010,219,2019-09-06,"9",2019,24,"0",4,2,1,3,0,0,0,10000,1256,3.3,3,1457,13,2,3,1
"14311 Kincheloe St","78725","Darling home in Austin's Colony and lovingly maintained on a semi cul de sac lot.  Great open flow with an abundance of natural light throughout.  Spacious kitchen with granite counters and easy access to the breakfast nook or dining room.  Wood laminate flooring throughout main level with travertine tile in laundry area.  All beds up and master bathroom boasts granite counters and travertine flooring.  Gorgeous oak in the front and huge backyard perfect for entertaining. Perfect starter home and barely lived in.",30.2437896728516,-97.5844955444336,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1988,229.999,2019-05-13,"5",2019,25,"0",4,1,0,0,0,1,0,7274,1712,1.7,3,1457,13,3,3,2
"9012 Spring Lake Dr","78750","9012 Spring Lake Dr, Austin, TX 78750 is a single family home that contains 2,234 sq ft and was built in 1975. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $521,966. The Rent Zestimate for this home is $2,400/mo.",30.438814163208,-97.7947387695312,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1975,415,2018-03-27,"3",2018,40,"0",0,1,0,0,0,0,0,13503.6,2234,0.9,8.66666666666667,1632,16,3,3,1
"6021 Signal Point","78724","Excellent rental / investment property. Great Section 8 tenant in place through April 2019 and would ideally like to extend. Rented $1350/mo.",30.2913475036621,-97.6452255249023,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1980,175,2018-12-11,"12",2018,17,"0",2,2,0,0,0,0,0,4835,1315,3.1,3.66666666666667,1085,11,2,3,1
"8121 Endeavor Cir","78726","Beautiful, grand, immaculate, single owner home in Grand View Hills.  This stunning home offers custom cabinets throughout, upgraded granite countertops, plus new Kitchen Aid appliances and so much more. The OASIS of a backyard includes a beach entry pool, separate hot tub, PRIVACY, expansive lot, plus an extensive deck perfect for entertaining! Soaring ceilings, oversized two car garage with workshop space. Sought after location in Grandview Hills, in the fantastic Leander ISD. See attached upgrade list!",30.4244155883789,-97.8605575561523,1.98,2,"TRUE","TRUE","TRUE","TRUE","Single Family",2001,665,2018-11-29,"11",2018,87,"0",1,2,0,0,0,0,0,18295.2,4137,2.03333333333333,7,1277,16,4,5,2
